question|answer
INDIVIDUAL TISSUES|REPAIR IN INDIVIDUAL TISSUES  Skin and Connective Tissue.The mode of regeneration of these tissues under aseptic conditions has already been described as the type of ideal repair.In highly vascular parts, such as the face, the reparative process goes on with great rapidity, and even extensive wounds may be firmly united in from three to five days.Where the anastomosis is less free the process is more prolonged.The more highly organised elements of the skin, such as the hair follicles, the sweat and sebaceous glands, are imperfectly reproduced; hence the scar remains smooth, dry, and hairless.Epithelium.INDIVIDUAL TISSUES AS GRAFTS  The Blood  lends itself in an ideal manner to transplantation, or, as it has long been called,  transfusion .Being always a homoplastic transfer, the new blood is not always tolerated by the old, in which case biochemical changes occur, resulting in hamolysis, which corresponds to the disintegration of other unsuccessful homoplastic grafts.(See article on Transfusion,  Op.Surg., p.37.)
Transfusion|"(See article on Transfusion,  Op.Surg., p.37.)The Skin.The skin was the first tissue to be used for grafting purposes, and it is still employed with greater frequency than any other, as lesions causing defects of skin are extremely common and without the aid of grafts are tedious in healing.Transfusion of blood is most valuable as  a preliminary to operation  in patients who are bloodless as a result of hamorrhage from gastric and duodenal ulcers, and in bleeders.HAMOPHILIA The term hamophilia is applied to an inherited disease which renders the patient liable to serious hamorrhage from even the most trivial injuries; and the subjects of it are popularly known as ""bleeders.""The cause of the disease and its true nature are as yet unknown.There is no proof of any structural defect in the blood vessels, and beyond the fact that there is a diminution in the number of blood-plates, it has not been demonstrated that there is any alteration in the composition of the blood.The affection is in a marked degree hereditary, all the branches of an affected family being liable to suffer.Its mode of transmission to individuals, moreover, is characteristic: the male members of the stock alone suffer from the affection in its typical form, while the tendency is transmitted through the female line."
"REPAIR

SURGICAL BACTERIOLOGY Want"|"CHAPTER II CONDITIONS WHICH INTERFERE WITH REPAIR

SURGICAL BACTERIOLOGY Want of rest Irritation Unhealthy tissues Pathogenic bacteria.SURGICAL BACTERIOLOGY General characters of     bacteria Classification of bacteria Conditions of bacterial     life Pathogenic powers of bacteria Results of bacterial     growth Death of bacteria Immunity Antitoxic sera Identification     of bacteria Pyogenic bacteria.In the management of wounds and other surgical conditions it is necessary to eliminate various extraneous influences which tend to delay or arrest the natural process of repair.Of these, one of the most important is undue movement of the affected part.""The first and great requisite for the restoration of injured parts is  rest ,"" said John Hunter; and physiological and mechanical rest as the chief of natural therapeutic agents was the theme of John Hilton's classical work  Rest and Pain .In this connection it must be understood that ""rest"" implies more than the mere state of physical repose: all physiological as well as mechanical function must be prevented as far as is possible."
pinal canal|"The serum may be introduced directly into a vein, or into the spinal canal,  e.g.anti-tetanic serum.The immunity produced by injections of antitoxic sera lasts only for a comparatively short time, seldom longer than a few weeks.""Serum Disease"" and Anaphylaxis.It is to be borne in mind that some patients exhibit a supersensitiveness with regard to protective sera, an injection being followed in a few days by the appearance of an urticarial or erythematous rash, pain and swelling of the joints, and a variable degree of fever.These symptoms, to which the name  serum disease  is applied, usually disappear in the course of a few days."
Staphylococcus Aureus|Staphylococcus Aureus.This is the commonest organism found in localised inflammatory and suppurative conditions.It varies greatly in its virulence, and is found in such widely different conditions as skin pustules, boils, carbuncles, and some acute inflammations of bone.As seen by the microscope it occurs in grape-like clusters, fission of the individual cells taking place irregularly (Fig.2).When grown in artificial media, the colonies assume an orange-yellow colour hence the name  aureus .INFECTIONS THROUGH THE BLOOD-STREAM  Diseases caused by the Staphylococcus Aureus.As the majority of pyogenic diseases are due to infection with the staphylococcus aureus, these will be described first.Acute osteomyelitis  is a suppurative process beginning in the marrow and tending to spread to the periosteum.The disease is common in children, but is rare after the skeleton has attained maturity.Boys are affected more often than girls, in the proportion of three to one, probably because they are more liable to exposure, to injury, and to violent exertion.Etiology.
Streptococcus Pyogenes|Streptococcus Pyogenes.This organism also varies greatly in its virulence; in some instances for example in erysipelas it causes a sharp attack of acute spreading inflammation, which soon subsides without showing any tendency to end in suppuration; under other conditions it gives rise to a generalised infection which rapidly proves fatal.The streptococcus has less capacity of liquefying the tissues than the staphylococcus, so that pus formation takes place more slowly.At the same time its products are very potent in destroying the tissues in their vicinity, and so interfering with the exudation of leucocytes which would otherwise exercise their protective influence.Streptococci invade the lymph spaces, and are associated with acute spreading conditions such as phlegmonous or erysipelatous inflammations and suppurations, lymphangitis and suppuration in lymph glands, and inflammation of serous and synovial membranes, also with a form of pneumonia which is prone to follow on severe operations in the mouth and throat.Streptococci are also concerned in the production of spreading gangrene and pyamia.
Bacillus Coli Communis|Bacillus Coli Communis.This organism, which is a normal inhabitant of the intestinal tract, shows a great tendency to invade any organ or tissue whose vitality is lowered.It is causatively associated with such conditions as peritonitis and peritoneal suppuration resulting from strangulated hernia, appendicitis, or perforation in any part of the alimentary canal.In cystitis, pyelitis, abscess of the kidney, suppuration in the bile-ducts or liver, and in many other abdominal conditions, it plays a most important part.The discharge from wounds infected by this organism has usually a fœtid, or even a facal odour, and often contains gases resulting from putrefaction.It is a small rod-shaped organism with short flagella, which render it motile (Fig.
Bacillus Typhosus|Bacillus Typhosus.This organism has been found in pure culture in suppurative conditions of bone, of cellular tissue, and of internal organs, especially during convalescence from typhoid fever.Like the staphylococcus, it is capable of lying latent in the tissues for long periods.Other Pyogenic Bacteria.It is not necessary to do more than name some of the other organisms that are known to be pyogenic, such as the bacillus pyocyaneus, which is found in green and blue pus, the micrococcus tetragenus, the gonococcus, actinomyces, the glanders bacillus, and the tubercle bacillus.Most of these will receive further mention in connection with the diseases to which they give rise.
micrococcus|It is not necessary to do more than name some of the other organisms that are known to be pyogenic, such as the bacillus pyocyaneus, which is found in green and blue pus, the micrococcus tetragenus, the gonococcus, actinomyces, the glanders bacillus, and the tubercle bacillus.Most of these will receive further mention in connection with the diseases to which they give rise.Leucocytosis.Most bacterial diseases, as well as certain other pathological conditions, are associated with an increase in the number of leucocytes in the blood throughout the circulatory system.This condition of the blood, which is known as  leucocytosis , is believed to be due to an excessive output and rapid formation of leucocytes by the bone marrow, and it probably has as its object the arrest and destruction of the invading organisms or toxins.To increase the resisting power of the system to pathogenic organisms, an artificial leucocytosis may be induced by subcutaneous injection of a solution of nucleinate of soda (16 minims of a 5 per cent.
Glycogen Reaction|"The Iodine or Glycogen Reaction.The leucocyte count may be supplemented by staining films of the blood with a watery solution of iodine and potassium iodide.In all advancing purulent conditions, in septic poisonings, in pneumonia, and in cancerous growths associated with ulceration, a certain number of the polynuclear leucocytes are stained a brown or reddish-brown colour, due to the action of the iodine on some substance in the cells of the nature of glycogen.This reaction is absent in serous effusions, in unmixed tuberculous infections, in uncomplicated typhoid fever, and in the early stages of cancerous growths.CHAPTER III INFLAMMATION

Definition Nature of inflammation from surgical point of     view Sequence of changes in bacterial inflammation Clinical     aspects of inflammation General principles of treatment Chronic     inflammation.Inflammation may be defined as the series of vital changes that occurs in the tissues in response to irritation."
