,Question,Answer
10,What can interfere with the normal repair process? <sep> What are the most important factors that can interfere with repair? <sep> What can cause infection by disease-producing micro-organisms? <sep> What can cause undue movement of the affected part? <sep>,"The normal process of repair may be interfered with by various extraneous agencies, the most important of which are infection by disease-producing micro-organisms, the presence of foreign substances, undue movement of the affected part, and improper applications and dressings."
11,What is the effect of the agencies? <sep> What is the effect of the agencies? <sep>,The effect of these agencies is to delay repair or to prevent the individual tissues carrying the process to the furthest degree of which they are capable.
12,What is the main object of a surgeon in the management of wounds and other diseased conditions? <sep> What is the main object of a surgeon in the management of wounds and other diseased conditions? <sep> What is the main object of a surgeon in the management of wounds and other diseased conditions? <sep> What is the main object of a surgeon in the management of wounds and other diseased conditions? <sep>,In the management of wounds and other diseased conditions the main object of the surgeon is to promote the natural reparative process by preventing or eliminating any factor by which it may be disturbed.
13,What is the name of the healing method used by Primary Union? <sep>,Healing by Primary Union.
14,"What is the most favourable condition for the progress of the reparative process? <sep> What is uncomplicated by loss of tissue, by the presence of foreign substances, or by infection with disease-producing micro-organisms? <sep>","The most favourable conditions for the progress of the reparative process are to be found in a clean-cut wound of the integument, which is uncomplicated by loss of tissue, by the presence of foreign substances, or by infection with disease-producing micro-organisms, and its edges are in contact."
15,What is the term for a wound that is aseptic? <sep> What is the term for the process of healing under aseptic conditions? <sep> What is the term for the process of healing under aseptic conditions? <sep> What is the term for the process of healing under aseptic conditions? <sep>,"Such a wound in virtue of the absence of infection is said to be  aseptic , and under these conditions healing takes place by what is called ""primary union"" the ""healing by first intention"" of the older writers."
16,What is the name of the tissue that is used to make Granulation Tissue? <sep>,Granulation Tissue.
17,What is the essential and invariable medium of repair in all structures? <sep> What is the elementary form of new tissue known as? <sep> What is produced in the damaged area in response to the irritation caused by injury or disease? <sep>,"The essential and invariable medium of repair in all structures is an elementary form of new tissue known as  granulation tissue , which is produced in the damaged area in response to the irritation caused by injury or disease."
18,What happens to the vessels of the part? <sep> What happens to leucocytes? <sep> What happens to lymph? <sep> What happens to fixed tissue cells? <sep>,"The vital reaction induced by such irritation results in dilatation of the vessels of the part, emigration of leucocytes, transudation of lymph, and certain proliferative changes in the fixed tissue cells."
19,What are two processes that are common to inflammation and repair? <sep> What can no hard and fast line be drawn between? <sep>,"These changes are common to the processes of inflammation and repair; no hard-and-fast line can be drawn between these processes, and the two may go on together."
20,What is produced when the proliferative changes have come to predominate? <sep> What is the only way to establish the reparative process? <sep>,"It is, however, only when the proliferative changes have come to predominate that the reparative process is effectively established by the production of healthy granulation tissue."
21,What is the name of the tissue formed by Granulation Tissue? <sep>,Formation of Granulation Tissue.
22,What happens when a wound is made in the integument under aseptic conditions? <sep> What happens when a knife passes through the tissues? <sep> What happens when a knife passes through the tissues? <sep>,"When a wound is made in the integument under aseptic conditions, the passage of the knife through the tissues is immediately followed by an oozing of blood, which soon coagulates on the cut surfaces."
23,What forms in each of the divided vessels? <sep> What extends as far as the nearest collateral branch? <sep> What is on the surface of the wound? <sep>,"In each of the divided vessels a clot forms, and extends as far as the nearest collateral branch; and on the surface of the wound there is a microscopic layer of bruised and devitalised tissue."
24,What is the blood-clot? <sep> What is the blood-clot? <sep> What is the blood-clot? <sep>,"If the wound is closed, the narrow space between its edges is occupied by blood-clot, which consists of red and white corpuscles mixed with a quantity of fibrin, and this forms a temporary uniting medium between the divided surfaces."
25,What happens during the first twelve hours? <sep> What happens from the minute vessels in the vicinity of the wound? <sep> What happens from the minute vessels in the vicinity of the wound? <sep>,"During the first twelve hours, the minute vessels in the vicinity of the wound dilate, and from them lymph exudes and leucocytes migrate into the tissues."
26,What do the capillaries of the part adjacent to the wound throw out in 24 to 36 hours? <sep> What do the capillaries of the part adjacent to the wound begin to throw out in 24 to 36 hours? <sep> What do the capillaries of the part adjacent to the wound begin to throw out in 24 to 36 hours? <sep> What do the capillaries of the part adjacent to the wound begin to throw out in 24 to 36 hours? <sep>,"In from twenty-four to thirty-six hours, the capillaries of the part adjacent to the wound begin to throw out minute buds and fine processes, which bridge the gap and form a firmer, but still temporary, connection between the two sides."
27,Where does each bud begin? <sep> What is the first part of a bud? <sep> What is the first part of a bud? <sep> What is the first part of a bud? <sep>,"Each bud begins in the wall of the capillary as a small accumulation of granular protoplasm, which gradually elongates into a filament containing a nucleus."
28,What happens to the filaments that join with a capillary? <sep> What happens to the filaments that join with a capillary? <sep> What happens to the filaments that join with a capillary? <sep>,"This filament either joins with a neighbouring capillary or with a similar filament, and in time these become hollow and are filled with blood from the vessels that gave them origin."
29,What is formed in this way? <sep>,In this way a series of young  capillary loops  is formed.
30,What fills the spaces between the loops? <sep> What are the most important cells? <sep> What do fibroblasts form? <sep>,"The spaces between these loops are filled by cells of various kinds, the most important being the  fibroblasts , which are destined to form cicatricial fibrous tissue."
31,What are fibroblasts? <sep> What are fibroblasts derived from? <sep> What are fibroblasts derived from? <sep>,"These fibroblasts are large irregular nucleated cells derived mainly from the proliferation of the fixed connective-tissue cells of the part, and to a less extent from the lymphocytes and other mononuclear cells which have migrated from the vessels."
32,What are giant cells found in fibroblasts? <sep> What do giant cells do when resistant substances are embedded in tissues? <sep> What does giant cells do? <sep>,"Among the fibroblasts, larger multi-nucleated cells  giant cells  are sometimes found, particularly when resistant substances, such as silk ligatures or fragments of bone, are embedded in the tissues, and their function seems to be to soften such substances preliminary to their being removed by the phagocytes."
33,What are numerous polymorpho-nuclear leucocytes? <sep>,"Numerous  polymorpho-nuclear leucocytes , which have wandered from the vessels, are also present in the spaces."
34,What do phagocytes remove from the original clot? <sep> What do phagocytes do? <sep> What do phagocytes do? <sep> What do phagocytes do? <sep>,"These act as phagocytes, their function being to remove the red corpuscles and fibrin of the original clot, and this performed, they either pass back into the circulation in virtue of their amœboid movement, or are themselves eaten up by the growing fibroblasts."
35,What does the phagocytic action not play a direct part in? <sep>,"Beyond this phagocytic action, they do not appear to play any direct part in the reparative process."
36,What do the capillary loops contain? <sep> What is the typical time that granulation tissue is formed? <sep> What is the term for cicatricial tissue? <sep>,"These young capillary loops, with their supporting cells and fluids, constitute granulation tissue, which is usually fully formed in from three to five days, after which it begins to be replaced by cicatricial or scar tissue."
37,What is the formation of Cicatricial Tissue? <sep>,Formation of Cicatricial Tissue.
38,What is the process of transforming temporary granulation tissue into scar tissue? <sep> What shape do fibroblasts become? <sep> What does fibroblasts produce in and around them? <sep> What does fibroblasts replace? <sep>,"The transformation of this temporary granulation tissue into scar tissue is effected by the fibroblasts, which become elongated and spindle-shaped, and produce in and around them a fine fibrillated material which gradually increases in quantity till it replaces the cell protoplasm."
39,What is formed in this way? <sep> What is the result of the arranged cells? <sep>,"In this way white fibrous tissue is formed, the cells of which are arranged in parallel lines and eventually become grouped in bundles, constituting fully formed white fibrous tissue."
40,What do the capillaries of the wound become? <sep> What is the original wound occupied by? <sep>,"In its growth it gradually obliterates the capillaries, until at the end of two, three, or four weeks both vessels and cells have almost entirely disappeared, and the original wound is occupied by cicatricial tissue."
41,What happens to the cicatrix in the course of time? <sep> What is the term for the amount of contraction of the cicatrix? <sep>,"In course of time this tissue becomes consolidated, and the cicatrix undergoes a certain amount of contraction  cicatricial contraction ."
42,What is healing of Epidermis? <sep>,Healing of Epidermis.
43,What is covering the surface of the wound? <sep> What is growing in from the margins of the wound? <sep>,"While these changes are taking place in the deeper parts of the wound, the surface is being covered over by  epidermis  growing in from the margins."
44,How long do the cells of the rete Malpighii sprout on to the surface of the wound? <sep> What do the cells of the rete Malpighii cover the granulations with? <sep> What do the cells of the rete Malpighii cover the granulations with? <sep>,"Within twelve hours the cells of the rete Malpighii close to the cut edge begin to sprout on to the surface of the wound, and by their proliferation gradually cover the granulations with a thin pink pellicle."
45,What color does the epithelium become as it enlarges? <sep> What color does the epithelium become as it enlarges? <sep> What color does the epithelium become as it enlarges? <sep>,As the epithelium increases in thickness it assumes a bluish hue and eventually the cells become cornified and the epithelium assumes a greyish-white colour.
46,What is the name of the study that is being studied? <sep>,Clinical Aspects.
47,What is the main reason for the absence of infection? <sep>,"So long as the process of repair is not complicated by infection with micro-organisms, there is no interference with the general health of the patient."
48,What is the temperature of the body? <sep> What is the local temperature of the body? <sep> What is the part free from? <sep>,"The temperature remains normal; the circulatory, gastro-intestinal, nervous, and other functions are undisturbed; locally, the part is cool, of natural colour and free from pain."
49,Modifications of the Process of Repair,Modifications of the Process of Repair.
50,What is the process of repair by primary union? <sep> What are some examples of modifications that are met with depending on incidental differences in the conditions present? <sep>,"The process of repair by primary union, above described, is to be looked upon as the type of all reparative processes, such modifications as are met with depending merely upon incidental differences in the conditions present, such as loss of tissue, infection by micro-organisms, etc."
51,What is the name of the repair after loss or destruction of Tissue? <sep>,Repair after Loss or Destruction of Tissue.
52,What is required to fill a gap in a wound? <sep> What is the process similar to in the ideal method of repair? <sep>,"When the edges of a wound cannot be approximated either because tissue has been lost, for example in excising a tumour or because a drainage tube or gauze packing has been necessary, a greater amount of granulation tissue is required to fill the gap, but the process is essentially the same as in the ideal method of repair."
53,What is the first layer of the raw surface covered by? <sep> What is the second layer of the raw surface covered by? <sep>,The raw surface is first covered by a layer of coagulated blood and fibrin.
54,What happens to the free surface of the fibroblasts? <sep> What fills the gap? <sep> What is the name of the tissue that fills the gap? <sep>,"An extensive new formation of capillary loops and fibroblasts takes place towards the free surface, and goes on until the gap is filled by a fine velvet-like mass of granulation tissue."
55,What is replaced by granulation tissue? <sep> What is covered by the ingrowth of epithelium from the edges? <sep>,"This granulation tissue is gradually replaced by young cicatricial tissue, and the surface is covered by the ingrowth of epithelium from the edges."
56,What is the best place to study the healing process? <sep> What is the gauze used in? <sep>,This modification of the reparative process can be best studied clinically in a recent wound which has been packed with gauze.
57,What is the wall of the cavity when the plug is introduced? <sep> What is the wall of the cavity when the plug is introduced? <sep>,"When the plug is introduced, the walls of the cavity consist of raw tissue with numerous oozing blood vessels."
58,On what day is the cavity found to be covered with papillary granulations? <sep> What is the color of the granulations on the surface of the cavity? <sep>,"On removing the packing on the fifth or sixth day, the surface is found to be covered with minute, red, papillary granulations, which are beginning to fill up the cavity."
59,At the edges of the epithelium is what? <sep>,At the edges the epithelium has proliferated and is covering over the newly formed granulation tissue.
60,What is the name of the discharge that occurs when lymph and leucocytes escape from the exposed surface? <sep>,As lymph and leucocytes escape from the exposed surface there is a certain amount of serous or sero-purulent discharge.
61,What happens to the granulation tissue after a few days? <sep> What spreads in and covers over the wound's surface? <sep>,"On examining the wound at intervals of a few days, it is found that the granulation tissue gradually increases in amount till the gap is completely filled up, and that coincidently the epithelium spreads in and covers over its surface."
62,What happens to the epithelium as it thickens? <sep> What is replaced by cicatricial tissue? <sep> What is the result of the cicatricial tissue contracting? <sep> What is the result of the cicatricial tissue contracting? <sep>,"In course of time the epithelium thickens, and as the granulation tissue is slowly replaced by young cicatricial tissue, which has a peculiar tendency to contract and so to obliterate the blood vessels in it, the scar that is left becomes smooth, pale, and depressed."
63,What is the term for the method of healing called? <sep> What is the method of healing called? <sep> What is the method of healing called? <sep>,"This method of healing is sometimes spoken of as ""healing by granulation"" although, as we have seen, it is by granulation that all repair takes place."
64,How many Granulating Surfaces are used for healing? <sep>,Healing by Union of two Granulating Surfaces.
65,What is the process of union in gaping wounds? <sep> What is the process of union in gaping wounds? <sep>,In gaping wounds union is sometimes obtained by bringing the two surfaces into apposition after each has become covered with healthy granulations.
66,What causes capillary loops to pass from one to the other? <sep> What causes capillary loops to adhere? <sep> What causes capillary loops to pass from one to the other? <sep> What causes capillary loops to pass from one to the other? <sep> What causes capillary loops to pass from one to the other? <sep> What causes capillary loops to pass from one to the other? <sep> What causes capillary loops to adhere? <sep> What causes capillary loops to pass from one to the other? <sep>,"The exudate on the surfaces causes them to adhere, capillary loops pass from one to the other, and their final fusion takes place by the further development of granulation and cicatricial tissue."
67,What is the name of the group of parts that are completely separated from the body? <sep>,Reunion of Parts entirely Separated from the Body.
68,What happens to small portions of tissue that are accidentally separated from the body? <sep> What happens to small portions of tissue that are accidentally separated from the body? <sep>,"Small portions of tissue, such as the end of a finger, the tip of the nose or a portion of the external ear, accidentally separated from the body, if accurately replaced and fixed in position, occasionally adhere by primary union."
69,What can be transplanted in the course of an operation? <sep> What can be unite by primary union? <sep>,"In the course of operations also, portions of skin, fascia, or bone, or even a complete joint may be transplanted, and unite by primary union."
70,What is healing under a Scab? <sep>,Healing under a Scab.
71,What can happen to a small superficial wound when exposed to the air? <sep> What can form on a small superficial wound when exposed to the air? <sep> What does a dry pad of gauze protect from external irritation? <sep>,"When a small superficial wound is exposed to the air, the blood and serum exuded on its surface may dry and form a hard crust or  scab , which serves to protect the surface from external irritation in the same way as would a dry pad of sterilised gauze."
72,What is formed under the scab? <sep> What is transformed into cicatricial tissue? <sep> What is left behind after the crust separates? <sep>,"Under this scab the formation of granulation tissue, its transformation into cicatricial tissue, and the growth of epithelium on the surface, go on until in the course of time the crust separates, leaving a scar."
73,What is the name of the drug used for healing? <sep>,Healing by Blood-clot.
74,What is a temporary scaffolding in which granulation tissue is built up? <sep> What is a subcutaneous wound? <sep> What is a wound made in excising tumours or operating upon bones? <sep>,"In subcutaneous wounds, for example tenotomy, in amputation wounds, and in wounds made in excising tumours or in operating upon bones, the space left between the divided tissues becomes filled with blood-clot, which acts as a temporary scaffolding in which granulation tissue is built up."
75,What do capillary loops grow into? <sep> What destroys the red corpuscles? <sep> What fills the gap with young connective tissue? <sep>,"Capillary loops grow into the coagulum, and migrated leucocytes from the adjacent blood vessels destroy the red corpuscles, and are in turn disposed of by the developing fibroblasts, which by their growth and proliferation fill up the gap with young connective tissue."
76,What is the difference between primary union and healing by union? <sep>,It will be evident that this process only differs from healing by primary union in the  amount  of blood-clot that is present.
77,What is the name of the foreign body? <sep>,Presence of a Foreign Body.
78,What is the name of the foreign body that is present in tissues? <sep>,"When an aseptic foreign body is present in the tissues,  e.g."
79,What is the healing process of chromicised catgut? <sep>,"a piece of unabsorbable chromicised catgut, the healing process may be modified."
80,What color does the scar take after primary union? <sep> What color does the scar take after primary union? <sep> What is the epidermis gradually thinning and giving way to? <sep> What is pulled out in pieces after primary union? <sep> What color does the scar take after primary union? <sep>,"After primary union has taken place the scar may broaden, become raised above the surface, and assume a bluish-brown colour; the epidermis gradually thins and gives way, revealing the softened portion of catgut, which can be pulled out in pieces, after which the wound rapidly heals and resumes a normal appearance."
81,What is the name of the two areas of the body that need to be repaired? <sep>,REPAIR IN INDIVIDUAL TISSUES  Skin and Connective Tissue.
82,What is the mode of regeneration of tissues under aseptic conditions described as? <sep>,The mode of regeneration of these tissues under aseptic conditions has already been described as the type of ideal repair.
83,What is the face? <sep> How long does it take for wounds to be firmly united? <sep>,"In highly vascular parts, such as the face, the reparative process goes on with great rapidity, and even extensive wounds may be firmly united in from three to five days."
84,"Where is the anastomosis less free, the process is more prolonged? <sep>",Where the anastomosis is less free the process is more prolonged.
85,"What are the more highly organized elements of the skin? <sep> What are the more highly organized elements of the skin? <sep> What are the more highly organized elements of the skin? <sep> What is the scar left smooth, dry, and hairless? <sep>","The more highly organised elements of the skin, such as the hair follicles, the sweat and sebaceous glands, are imperfectly reproduced; hence the scar remains smooth, dry, and hairless."
86,What is the name of the tissue that is a part of the body? <sep>,Epithelium.
87,What is the only way that epithelium is reproduced? <sep> What can happen to cells of one kind of epithelium? <sep>,"Epithelium is only reproduced from pre-existing epithelium, and, as a rule, from one of a similar type, although metaplastic transformation of cells of one kind of epithelium into another kind can take place."
88,What may cover a granulating surface entirely? <sep> What may spring up in the centre of the raw area? <sep>,"Thus a granulating surface may be covered entirely by the ingrowing of the cutaneous epithelium from the margins; or islets, originating in surviving cells of sebaceous glands or sweat glands, or of hair follicles, may spring up in the centre of the raw area."
89,What may cause islets to form? <sep> What may be the cause of islets? <sep>,Such islets may also be due to the accidental transference of loose epithelial cells from the edges.
90,What is a blister capable of starting? <sep> What is the rete Malpighii? <sep>,"Even the fluid from a blister, in virtue of the isolated cells of the rete Malpighii which it contains, is capable of starting epithelial growth on a granulating surface."
91,What can be completely regenerated if a sufficient amount of the hair follicles or of the nail matrix has escaped destruction? <sep>,Hairs and nails may be completely regenerated if a sufficient amount of the hair follicles or of the nail matrix has escaped destruction.
92,What is the same as the epithelium on a cutaneous surface? <sep>,The epithelium of a mucous membrane is regenerated in the same way as that on a cutaneous surface.
93,What cells have the power of living for some time after being separated from their normal surroundings? <sep> What cells have the power of growing again when placed in favourable circumstances? <sep>,"Epithelial cells have the power of living for some time after being separated from their normal surroundings, and of growing again when once more placed in favourable circumstances."
94,What is the basis of skin grafting? <sep>,On this fact the practice of skin grafting is based (p. 11).
95,What is the name of the material used in the manufacture of the carilage? <sep>,Cartilage.
96,What is used to repair a fracture involving the articular end of a bone? <sep> What is the normal cicatricial fibrous tissue derived from? <sep>,"When an articular cartilage is divided by incision or by being implicated in a fracture involving the articular end of a bone, it is repaired by ordinary cicatricial fibrous tissue derived from the proliferating cells of the perichondrium."
97,What is the non-vascular tissue of cartilage? <sep> What is the process of repairing cartilage called? <sep>,"Cartilage being a non-vascular tissue, the reparative process goes on slowly, and it may be many weeks before it is complete."
98,What is possible for connective-tissue cells to be transformed into cartilage cells? <sep> What is secreted by the new cells? <sep>,"It is possible for a metaplastic transformation of connective-tissue cells into cartilage cells to take place, the characteristic hyaline matrix being secreted by the new cells."
99,What is the term for a stage in the healing of fractures? <sep>,"This is sometimes observed as an intermediary stage in the healing of fractures, especially in young bones."
100,What can happen to lost cartilage? <sep> What is the new tissue situated to be? <sep> What is the new tissue subjected to pressure by? <sep>,"It may also take place in the regeneration of lost portions of cartilage, provided the new tissue is so situated as to constitute part of a joint and to be subjected to pressure by an opposing cartilaginous surface."
101,What is the purpose of excision of joints? <sep>,This is illustrated by what takes place after excision of joints where it is desired to restore the function of the articulation.
102,What is formed by the bones by moving between the parts? <sep> What is formed by the bones' cells? <sep>,"By carrying out movements between the constituent parts, the fibrous tissue covering the ends of the bones becomes moulded into shape, its cells take on the characters of cartilage cells, and, forming a matrix, so develop a new cartilage."
103,What is the term for deformities that involve displacement of articular surfaces? <sep> What is the term for deformities that involve displacement of articular surfaces? <sep>,"Conversely, it is observed that when articular cartilage is no longer subjected to pressure by an opposing cartilage, it tends to be transformed into fibrous tissue, as may be seen in deformities attended with displacement of articular surfaces, such as hallux valgus and club-foot."
104,What may be replaced by bone after a fracture? <sep> What may be replaced by bone after a fracture? <sep>,After fractures of costal cartilage or of the cartilages of the larynx the cicatricial tissue may be ultimately replaced by bone.
105,What is the name of the animal that is a tendon? <sep>,Tendons.
106,What is done when a tendon is divided? <sep> What fills the gap left by a blood-clot? <sep>,"When a tendon is divided, for example by subcutaneous tenotomy, the end nearer the muscle fibres is drawn away from the other, leaving a gap which is speedily filled by blood-clot."
107,What is the granulation tissue derived from? <sep> What is the sheath of the tendon? <sep> What is the surrounding connective tissue derived from? <sep>,"In the course of a few days this clot becomes permeated by granulation tissue, the fibroblasts of which are derived from the sheath of the tendon, the surrounding connective tissue, and probably also from the divided ends of the tendon itself."
108,What do fibroblasts eventually develop into? <sep> What do the fibres that they form constitute? <sep>,"These fibroblasts ultimately develop into typical tendon cells, and the fibres which they form constitute the new tendon fibres."
109,"In aseptic conditions, how long does it take to complete a repair? <sep>",Under aseptic conditions repair is complete in from two to three weeks.
110,What can happen to the tendon and its sheath during the reparative process? <sep> What can happen to the tendon and its sheath during the reparative process? <sep>,"In the course of the reparative process the tendon and its sheath may become adherent, which leads to impaired movement and stiffness."
111,What happens when the ends of a tendon are secured by sutures? <sep> What happens when the ends of a tendon are secured by sutures? <sep> What happens when the ends of a tendon are secured by sutures? <sep>,"If the ends of an accidentally divided tendon are at once brought into accurate apposition and secured by sutures, they unite directly with a minimum amount of scar tissue, and function is perfectly restored."
112,Muscle.,Muscle.
113,What type of muscle is not able to be regenerated? <sep> What is the only degree of regenerated muscle? <sep>,Unstriped muscle does not seem to be capable of being regenerated to any but a moderate degree.
114,What happens when the ends of a divided striped muscle are brought into apposition by stitches? <sep> What happens with a minimum of intervening fibrous tissue? <sep>,"If the ends of a divided striped muscle are at once brought into apposition by stitches, primary union takes place with a minimum of intervening fibrous tissue."
115,What happens to the nuclei of the muscle fibres in close proximity to the young cicatricial tissue? <sep> What is replaced by a fibrous cicatrix? <sep>,"The nuclei of the muscle fibres in close proximity to this young cicatricial tissue proliferate, and a few new muscle fibres may be developed, but any gross loss of muscular tissue is replaced by a fibrous cicatrix."
116,What is replaced by fibrous tissue? <sep>,It would appear that portions of muscle transplanted from animals to fill up gaps in human muscle are similarly replaced by fibrous tissue.
117,What happens when a muscle is paralysed? <sep> What happens when a muscle is paralysed? <sep> What happens when a muscle is paralysed? <sep> What happens when a muscle is paralysed? <sep>,"When a muscle is paralysed from loss of its nerve supply and undergoes complete degeneration, it is not capable of being regenerated, even should the integrity of the nerve be restored, and so its function is permanently lost."
118,What is the name of the secretive land? <sep>,Secretory Glands.
119,What is the most common type of tissue that takes the place of the glandular substance that has been destroyed? <sep>,"The regeneration of secretory glands is usually incomplete, cicatricial tissue taking the place of the glandular substance which has been destroyed."
120,What fills the gap in a liver wound? <sep> Where do liver cells proliferate? <sep> What happens to the liver cells near the periphery of the wound? <sep>,"In wounds of the liver, for example, the gap is filled by fibrous tissue, but towards the periphery of the wound the liver cells proliferate and a certain amount of regeneration takes place."
121,What tissue is used to repair the kidney? <sep> What is used to repair the kidney? <sep> What is not used to regenerate the kidney? <sep>,"In the kidney also, repair mainly takes place by cicatricial tissue, and although a few collecting tubules may be reformed, no regeneration of secreting tissue takes place."
122,What is formed after the operation of decapsulation of the kidney? <sep> What is formed after the operation of decapsulation of the kidney? <sep> What is the result of the consolidation of the new fibrous tissue? <sep>,"After the operation of decapsulation of the kidney a new capsule is formed, and during the process young blood vessels permeate the superficial parts of the kidney and temporarily increase its blood supply, but in the consolidation of the new fibrous tissue these vessels are ultimately obliterated."
123,What is the purpose of the kidney operation? <sep> What may be the result of the kidney operation? <sep>,"This does not prove that the operation is useless, as the temporary improvement of the circulation in the kidney may serve to tide the patient over a critical period of renal insufficiency."
124,What are the two main parts of the body? <sep>,Stomach and Intestine.
125,What surface of the peritoneal surfaces are properly apposed? <sep> What kind of wounds of the stomach and intestine heal with great speed? <sep>,"Provided the peritoneal surfaces are accurately apposed, wounds of the stomach and intestine heal with great rapidity."
126,What is the peritoneal surfaces glued together by? <sep> What is quickly organised and replaced by fibrous tissue? <sep>,"Within a few hours the peritoneal surfaces are glued together by a thin layer of fibrin and leucocytes, which is speedily organised and replaced by fibrous tissue."
127,What does fibrous tissue take over? <sep> What does fibrous tissue replace? <sep> What does fibrous tissue replace? <sep>,"Fibrous tissue takes the place of the muscular elements, which are not regenerated."
128,What is restored by ingrowth from the margins? <sep> What may be reproduced? <sep>,"The mucous lining is restored by ingrowth from the margins, and there is evidence that some of the secreting glands may be reproduced."
129,What are hollow viscera like? <sep> What do hollow viscera not cover? <sep> What do hollow viscera heal less quickly? <sep>,"Hollow viscera, like the œsophagus and urinary bladder, in so far as they are not covered by peritoneum, heal less rapidly."
130,What are Nerve Tissues? <sep>,Nerve Tissues.
131,What is the only reliable evidence that regeneration of the tissues of the brain or spinal cord takes place in man? <sep>,There is no trustworthy evidence that regeneration of the tissues of the brain or spinal cord in man ever takes place.
132,What is replaced by cicatricial tissue? <sep>,Any loss of substance is replaced by cicatricial tissue.
133,What are the three most commonly addressed structures in the book? <sep>,"The repair of  Bone ,  Blood Vessels , and  Peripheral Nerves  is more conveniently considered in the chapters dealing with these structures."
134,What is the rate of healing? <sep>,Rate of Healing.
135,What is the rate at which wounds heal? <sep> What factors influence the rate at which wounds heal? <sep>,While the rate at which wounds heal is remarkably constant there are certain factors that influence it in one direction or the other.
136,What is more rapid when the edges are in contact? <sep> What is the minimum amount of blood-clot between the edges? <sep> What is the vitality of the tissues not impaired? <sep>,"Healing is more rapid when the edges are in contact, when there is a minimum amount of blood-clot between them, when the patient is in normal health and the vitality of the tissues has not been impaired."
137,What is the difference between the two groups? <sep> What is the difference between the two groups? <sep>,"Wounds heal slightly more quickly in the young than in the old, although the difference is so small that it can only be demonstrated by the most careful observations."
138,What do some tissues take longer to heal than others? <sep> How long does it take for a fracture to unite? <sep> How long does it take for nerve trunks to split? <sep>,"Certain tissues take longer to heal than others: for example, a fracture of one of the larger long bones takes about six weeks to unite, and divided nerve trunks take much longer about a year."
139,What parts of the body heal faster than others? <sep> What is the reason for the faster healing of wounds? <sep> What is the reason for the faster healing of wounds? <sep>,"Wounds of certain parts of the body heal more quickly than others: those of the scalp, face, and neck, for example, heal more quickly than those over the buttock or sacrum, probably because of their greater vascularity."
140,What influences the rate of healing? <sep> What is the natural reaction to a long and deep wound? <sep> What is the natural reaction to a short and superficial wound? <sep> What is the result of the conversion of blood-clot into granulation tissue? <sep>,"The extent of the wound influences the rate of healing; it is only natural that a long and deep wound should take longer to heal than a short and superficial one, because there is so much more work to be done in the conversion of blood-clot into granulation tissue, and this again into scar tissue that will be strong enough to stand the strain on the edges of the wound."
141,What is the term for the transfer of tissue from one part of the body to another? <sep> What is the term for the tissue transferred? <sep> What is the term for the tissue transferred? <sep>,THE TRANSPLANTATION OR GRAFTING OF TISSUES Conditions are not infrequently met with in which healing is promoted and restoration of function made possible by the transference of a portion of tissue from one part of the body to another; the tissue transferred is known as the  graft  or the  transplant .
