question|answer
describe: pinal canal|"The serum may be introduced directly into a vein, or into the spinal canal,  e.g.anti-tetanic serum.The immunity produced by injections of antitoxic sera lasts only for a comparatively short time, seldom longer than a few weeks.""Serum Disease"" and Anaphylaxis.It is to be borne in mind that some patients exhibit a supersensitiveness with regard to protective sera, an injection being followed in a few days by the appearance of an urticarial or erythematous rash, pain and swelling of the joints, and a variable degree of fever.These symptoms, to which the name  serum disease  is applied, usually disappear in the course of a few days."
describe: Staphylococcus Aureus|Staphylococcus Aureus.This is the commonest organism found in localised inflammatory and suppurative conditions.It varies greatly in its virulence, and is found in such widely different conditions as skin pustules, boils, carbuncles, and some acute inflammations of bone.As seen by the microscope it occurs in grape-like clusters, fission of the individual cells taking place irregularly (Fig.2).When grown in artificial media, the colonies assume an orange-yellow colour hence the name  aureus .INFECTIONS THROUGH THE BLOOD-STREAM  Diseases caused by the Staphylococcus Aureus.As the majority of pyogenic diseases are due to infection with the staphylococcus aureus, these will be described first.Acute osteomyelitis  is a suppurative process beginning in the marrow and tending to spread to the periosteum.The disease is common in children, but is rare after the skeleton has attained maturity.Boys are affected more often than girls, in the proportion of three to one, probably because they are more liable to exposure, to injury, and to violent exertion.Etiology.
describe: Streptococcus Pyogenes|Streptococcus Pyogenes.This organism also varies greatly in its virulence; in some instances for example in erysipelas it causes a sharp attack of acute spreading inflammation, which soon subsides without showing any tendency to end in suppuration; under other conditions it gives rise to a generalised infection which rapidly proves fatal.The streptococcus has less capacity of liquefying the tissues than the staphylococcus, so that pus formation takes place more slowly.At the same time its products are very potent in destroying the tissues in their vicinity, and so interfering with the exudation of leucocytes which would otherwise exercise their protective influence.Streptococci invade the lymph spaces, and are associated with acute spreading conditions such as phlegmonous or erysipelatous inflammations and suppurations, lymphangitis and suppuration in lymph glands, and inflammation of serous and synovial membranes, also with a form of pneumonia which is prone to follow on severe operations in the mouth and throat.Streptococci are also concerned in the production of spreading gangrene and pyamia.
describe: Bacillus Coli Communis|Bacillus Coli Communis.This organism, which is a normal inhabitant of the intestinal tract, shows a great tendency to invade any organ or tissue whose vitality is lowered.It is causatively associated with such conditions as peritonitis and peritoneal suppuration resulting from strangulated hernia, appendicitis, or perforation in any part of the alimentary canal.In cystitis, pyelitis, abscess of the kidney, suppuration in the bile-ducts or liver, and in many other abdominal conditions, it plays a most important part.The discharge from wounds infected by this organism has usually a fœtid, or even a facal odour, and often contains gases resulting from putrefaction.It is a small rod-shaped organism with short flagella, which render it motile (Fig.
describe: Bacillus Typhosus|Bacillus Typhosus.This organism has been found in pure culture in suppurative conditions of bone, of cellular tissue, and of internal organs, especially during convalescence from typhoid fever.Like the staphylococcus, it is capable of lying latent in the tissues for long periods.Other Pyogenic Bacteria.It is not necessary to do more than name some of the other organisms that are known to be pyogenic, such as the bacillus pyocyaneus, which is found in green and blue pus, the micrococcus tetragenus, the gonococcus, actinomyces, the glanders bacillus, and the tubercle bacillus.Most of these will receive further mention in connection with the diseases to which they give rise.
describe: micrococcus|It is not necessary to do more than name some of the other organisms that are known to be pyogenic, such as the bacillus pyocyaneus, which is found in green and blue pus, the micrococcus tetragenus, the gonococcus, actinomyces, the glanders bacillus, and the tubercle bacillus.Most of these will receive further mention in connection with the diseases to which they give rise.Leucocytosis.Most bacterial diseases, as well as certain other pathological conditions, are associated with an increase in the number of leucocytes in the blood throughout the circulatory system.This condition of the blood, which is known as  leucocytosis , is believed to be due to an excessive output and rapid formation of leucocytes by the bone marrow, and it probably has as its object the arrest and destruction of the invading organisms or toxins.To increase the resisting power of the system to pathogenic organisms, an artificial leucocytosis may be induced by subcutaneous injection of a solution of nucleinate of soda (16 minims of a 5 per cent.
describe: Glycogen Reaction|"The Iodine or Glycogen Reaction.The leucocyte count may be supplemented by staining films of the blood with a watery solution of iodine and potassium iodide.In all advancing purulent conditions, in septic poisonings, in pneumonia, and in cancerous growths associated with ulceration, a certain number of the polynuclear leucocytes are stained a brown or reddish-brown colour, due to the action of the iodine on some substance in the cells of the nature of glycogen.This reaction is absent in serous effusions, in unmixed tuberculous infections, in uncomplicated typhoid fever, and in the early stages of cancerous growths.CHAPTER III INFLAMMATION

Definition Nature of inflammation from surgical point of     view Sequence of changes in bacterial inflammation Clinical     aspects of inflammation General principles of treatment Chronic     inflammation.Inflammation may be defined as the series of vital changes that occurs in the tissues in response to irritation."
describe: nflammation|These changes are common to the processes of inflammation and repair; no hard-and-fast line can be drawn between these processes, and the two may go on together.It is, however, only when the proliferative changes have come to predominate that the reparative process is effectively established by the production of healthy granulation tissue.Formation of Granulation Tissue.When a wound is made in the integument under aseptic conditions, the passage of the knife through the tissues is immediately followed by an oozing of blood, which soon coagulates on the cut surfaces.In each of the divided vessels a clot forms, and extends as far as the nearest collateral branch; and on the surface of the wound there is a microscopic layer of bruised and devitalised tissue.If the wound is closed, the narrow space between its edges is occupied by blood-clot, which consists of red and white corpuscles mixed with a quantity of fibrin, and this forms a temporary uniting medium between the divided surfaces.PYOGENIC BACTERIA From the point of view of the surgeon the most important varieties of micro-organisms are those that cause inflammation and suppuration the  pyogenic bacteria .This group includes a great many species, and these are so widely distributed that they are to be met with under all conditions of everyday life.The nature of the inflammatory and suppurative processes will be considered in detail later; suffice it here to say that they are brought about by the action of one or other of the organisms that we have now to consider.It is found that the  staphylococci , which cluster into groups, tend to produce localised lesions; while the chain-forms  streptococci  give rise to diffuse, spreading conditions.Many varieties of pyogenic bacteria have now been differentiated, the best known being the staphylococcus aureus, the streptococcus, and the bacillus coli communis.Staphylococcus Aureus.
describe: hamorrhagic|Thus it may be  serous , as in some forms of synovitis;  sero-fibrinous , as in certain varieties of peritonitis, the fibrin tending to limit the spread of the inflammation by forming adhesions;  croupous , when it coagulates on a free surface and forms a false membrane, as in diphtheria;  hamorrhagic  when mixed with blood; or  purulent , when suppuration has occurred.The protective effects of the inflammatory reaction depend for the most part upon the transudation of lymph and the emigration of leucocytes.The lymph contains the opsonins which act on the bacteria and render them less able to resist the attack of the phagocytes, as well as the various protective antibodies which neutralise the toxins.The polymorph leucocytes are the principal agents in the process of phagocytosis (p. 22), and together with the other forms of phagocytes they ingest and destroy the bacteria.If the attempt to repel the invading organisms is successful, the irritant effects are overcome, the inflammation is arrested, and  resolution  is said to take place.Certain of the vascular and cellular changes are now utilised to restore the condition to the normal, and  repair  ensues after the manner already described.
describe: General Treatment|General Treatment.The patient should be kept at rest, preferably in bed, to diminish the general tissue waste; and the diet should be restricted to fluids, such as milk, beef-tea, meat juices or gruel, and these may be rendered more easily assimilable by artificial digestion if necessary.To counteract the general effect of toxins absorbed into the circulation, specific antitoxic sera are employed in certain forms of infection, such as diphtheria, streptococcal septicamia, and tetanus.In other forms of infection, vaccines are employed to increase the opsonic power of the blood.When such means are not available, the circulating toxins may to some extent be diluted by giving plenty of bland fluids by the mouth or normal salt solution by the rectum.The elimination of the toxins is promoted by securing free action of the emunctories.
describe: amœboid movement|"These act as phagocytes, their function being to remove the red corpuscles and fibrin of the original clot, and this performed, they either pass back into the circulation in virtue of their amœboid movement, or are themselves eaten up by the growing fibroblasts.Beyond this phagocytic action, they do not appear to play any direct part in the reparative process.These young capillary loops, with their supporting cells and fluids, constitute granulation tissue, which is usually fully formed in from three to five days, after which it begins to be replaced by cicatricial or scar tissue.Formation of Cicatricial Tissue.The transformation of this temporary granulation tissue into scar tissue is effected by the fibroblasts, which become elongated and spindle-shaped, and produce in and around them a fine fibrillated material which gradually increases in quantity till it replaces the cell protoplasm.In this way white fibrous tissue is formed, the cells of which are arranged in parallel lines and eventually become grouped in bundles, constituting fully formed white fibrous tissue.If a film of fresh pus is examined under the microscope, the pus cells are seen to have a well-defined rounded outline, and to contain a finely granular protoplasm and a multi-partite nucleus; if still warm, the cells may exhibit amœboid movement.In stained films the nuclei take the stain well.In older pus cells the outline is irregular, the protoplasm coarsely granular, and the nuclei disintegrated, no longer taking the stain.Variations from Typical Pus.Pus from old-standing sinuses is often watery in consistence (ichorous), with few cells.Where the granulations are vascular and bleed easily, it becomes sanious from admixture with red corpuscles; while, if a blood-clot be broken down and the debris mixed with the pus, it contains granules of blood pigment and is said to be ""grumous."""
describe: Typical Pus|"Variations from Typical Pus.Pus from old-standing sinuses is often watery in consistence (ichorous), with few cells.Where the granulations are vascular and bleed easily, it becomes sanious from admixture with red corpuscles; while, if a blood-clot be broken down and the debris mixed with the pus, it contains granules of blood pigment and is said to be ""grumous.""The  odour  of pus varies with the different bacteria producing it.Pus due to ordinary pyogenic cocci has a mawkish odour; when putrefactive organisms are present it has a putrid odour; when it forms in the vicinity of the intestinal canal it usually contains the bacillus coli communis and has a facal odour.The  colour  of pus also varies: when due to one or other of the varieties of the bacillus pyocyaneus, it is usually of a blue or green colour; when mixed with bile derivatives or altered blood pigment, it may be of a bright orange colour."
describe: Acute Circumscribed Abscess|Clinical Features of an Acute Circumscribed Abscess.In the initial stages the usual symptoms of inflammation are present.Increased elevation of temperature, with or without a rigor, progressive leucocytosis, and sweating, mark the transition between inflammation and suppuration.An increasing leucocytosis is evidence that a suppurative process is spreading.The local symptoms vary with the seat of the abscess.When it is situated superficially for example, in the breast tissue the affected area is hot, the redness of inflammation gives place to a dusky purple colour, with a pale, sometimes yellow, spot where the pus is near the surface.
describe: anti-streptococcic|The general treatment of toxamia must be carried out, and in cases due to infection by streptococci, anti-streptococcic serum may be used.In a few cases, amputation well above the seat of disease, by removing the source of toxin production, offers the only means of saving the patient.WHITLOW The clinical term whitlow is applied to an acute infection, usually followed by suppuration, commonly met with in the fingers, less frequently in the toes.The point of infection is often trivial a pin-prick, a puncture caused by a splinter of wood, a scratch, or even an imperceptible lesion of the skin.Several varieties of whitlow are recognised, but while it is convenient to describe them separately, it is to be clearly understood that clinically they merge one into another, and it is not always possible to determine in which connective-tissue plane a given infection has originated.Initial Stage.It is worthy of note that the anti-streptococcic serum has proved of less value in the treatment of erysipelas than might have been expected, probably because the serum is not made from the proper strain of streptococcus.It is not necessary to isolate cases of erysipelas, provided the usual precautions against carrying infection from one patient to another are rigidly carried out.DIPHTHERIA Diphtheria is an acute infective disease due to the action of a specific bacterium, the  bacillus diphtheria  or  Klebs-Löffler bacillus .The disease is usually transmitted from one patient to another, but it may be contracted from cats, fowls, or through the milk of infected cows.Cases have occurred in which the surgeon has carried the infection from one patient to another through neglect of antiseptic precautions.The incubation period varies from two to seven days.
describe: Initial Stage|Initial Stage.Attention is usually first attracted to the condition by a sensation of tightness in the finger and tenderness when the part is squeezed or knocked against anything.In the course of a few hours the part becomes red and swollen; there is continuous pain, which soon assumes a throbbing character, particularly when the hand is dependent, and may be so severe as to prevent sleep, and the patient may feel generally out of sorts.If a constricting band is applied at this stage, the infection can usually be checked and the occurrence of suppuration prevented.If this fails, or if the condition is allowed to go untreated, the inflammatory reaction increases and terminates in suppuration, giving rise to one or other of the forms of whitlow to be described.The Purulent Blister.
describe: The Purulent Blister|The Purulent Blister.In the most superficial variety, pus forms between the rete Malpighii and the stratum corneum of the skin, the latter being raised as a blister in which fluctuation can be detected (Fig.9, a).This is commonly met with in the palm of the hand of labouring men who have recently resumed work after a spell of idleness.When the blister forms near the tip of the finger, the pus burrows under the nail which corresponds to the stratum corneum raising it from its bed.There is some local heat and discoloration, and considerable pain and tenderness, but little or no constitutional disturbance.
describe: Clinical Examination|Clinical Examination of an Ulcer.In examining any ulcer, we observe (1) Its  base  or  floor , noting the presence or absence of granulations, their disposition, size, colour, vascularity, and whether they are depressed or elevated in relation to the surrounding parts.(2) The  discharge  as to quantity, consistence, colour, composition, and odour.(3) The  edges , noting particularly whether or not the marginal epithelium is attempting to grow over the surface; also their shape, regularity, thickness, and whether undermined or overlapping, everted or depressed.(4) The  surrounding tissues , as to whether they are congested, œdematous, inflamed, indurated, or otherwise.(5) Whether or not there is  pain  or tenderness in the raw surface or its surroundings.
describe: Classification of Ulcers|Classification of Ulcers.The nomenclature of ulcers is much involved and gives rise to great confusion, chiefly for the reason that no one basis of classification has been adopted.Thus some ulcers are named according to the causes at work in producing or maintaining them for example, the traumatic, the septic, and the varicose ulcer; some from the constitutional element present, as the gouty and the diabetic ulcer; and others according to the condition in which they happen to be when seen by the surgeon, such as the weak, the inflamed, and the callous ulcer.So long as we retain these names it will be impossible to find a single basis for classification; and yet many of the terms are so descriptive and so generally understood that it is undesirable to abolish them.We must therefore remain content with a clinical arrangement of ulcers, it cannot be called a classification, considering any given ulcer from two points of view: first its  cause , and second its  present condition .This method of studying ulcers has the practical advantage that it furnishes us with the main indications for treatment as well as for diagnosis: the cause must be removed, and the condition so modified as to convert the ulcer into an aseptic healing sore.
describe: Traumatism|According to cause:      Traumatism ,  Imperfect circulation ,  Imperfect nerve-supply ,      Constitutional causes  B.According to condition:  Healing ,      Stationary ,  Spreading .Treatment.The process of  ulceration  may be defined as the molecular or cellular death of tissue taking place on a free surface.It is essentially of the same nature as the process of suppuration, only that the purulent discharge, instead of collecting in a closed cavity and forming an abscess, at once escapes on the surface.An  ulcer  is an open wound or sore in which there are present certain conditions tending to prevent it undergoing the natural process of repair.Although any given ulcer may be due to a combination of causes, it is convenient to describe the following groups:  Ulcers due to Traumatism.Traumatism in the form of a  crush  or  bruise  is a frequent cause of ulcer formation, acting either by directly destroying the skin, or by so diminishing its vitality that it is rendered a suitable soil for bacteria.If these gain access, in the course of a few days the damaged area of skin becomes of a greyish colour, blebs form on it, and it undergoes necrosis, leaving an unhealthy raw surface when the slough separates.Heat  and  prolonged exposure to the Röntgen rays  or  to radium emanations  act in a similar way.The  pressure  of improperly padded splints or other appliances may so far interfere with the circulation of the part pressed upon, that the skin sloughs, leaving an open sore.This is most liable to occur in patients who suffer from some nerve lesion such as anterior poliomyelitis, or injury of the spinal cord or nerve-trunks.
describe: syringo-myelia|"The  perforating ulcer of the foot  is a peculiar type of sore which occurs in association with the different forms of peripheral neuritis, and with various lesions of the brain and spinal cord, such as general paralysis, locomotor ataxia, or syringo-myelia (Fig.15).It also occurs in patients suffering from glycosuria, and is usually associated with arterio-sclerosis local or general.Perforating ulcer is met with most frequently under the head of the metatarsal bone of the great toe.A callosity forms and suppuration occurs under it, the pus escaping through a small hole in the centre.The process slowly and gradually spreads deeper and deeper, till eventually the bone or joint is reached, and becomes implicated in the destructive process hence the term ""perforating ulcer."""
describe: grey shreddy|The base is soft, pale, and covered with feeble granulations and grey shreddy sloughs.The edges are of a dull blue or purple colour, and gradually thin out towards their free margins, and in addition are characteristically undermined, so that a probe can be passed for some distance between the floor of the ulcer and the thinned-out edges.Thin, devitalised tags of skin often stretch from side to side of the ulcer.The outline is irregular; small perforations often occur through the skin, and a thin, watery discharge, containing grey shreds of tuberculous debris, escapes.Bazin's Disease.This term is applied to an affection of the skin and subcutaneous tissue which bears certain resemblances to tuberculosis.
describe: rficial syphilitic gummata|The condition begins by the formation in the skin and subcutaneous tissue of dusky or livid nodules of induration, which soften and ulcerate, forming small open sores with ragged and undermined edges, not unlike those resulting from the breaking down of superficial syphilitic gummata (Fig.16).Fresh crops of nodules appear in the neighbourhood of the ulcers, and in turn break down.While in the nodular stage the affection is sometimes painful, but with the formation of the ulcer the pain subsides.The disease runs a chronic course, and may slowly extend over a wide area in spite of the usual methods of treatment.After lasting for some months, or even years, however, it may eventually undergo spontaneous cure.
describe: Traumatic Group|Traumatic Group.The  prophylaxis  of these ulcers consists in excluding bacteria, by cleansing crushed or bruised parts, and applying sterilised dressings and properly adjusted splints.If there is reason to fear that the disinfection has not been complete, a Bier's constricting bandage should be applied for some hours each day.These measures will often prevent a grossly injured portion of skin dying, and will ensure asepticity should it do so.In the event of the skin giving way, the same form of dressing should be continued till the slough has separated and a healthy granulating surface is formed.The protective dressing appropriate to a healing sore is then substituted.
describe: the intra-venou|"No ulcerative process responds so readily to medicinal treatment as the  syphilitic ulcer  does to the intra-venous administration of arsenical preparations of the ""606"" or ""914"" groups or to full doses of iodide of potassium and mercury, and the local application of black wash.When the ulceration has lasted for a long time, however, and is widespread and deep, the duration of treatment is materially shortened by a thorough scraping with the sharp spoon.Treatment in relation to the Condition of the Ulcer.Ulcers in a weak condition.If the weak condition of the ulcer is due to anamia or kidney disease, these affections must first be treated.Locally, the imperfect granulations should be scraped away, and some stimulating agent applied to the raw surface to promote the growth of healthy granulations.When the intra-venous method is not available, one or two pints of saline solution with adrenalin should be slowly introduced into the rectum, by means of a long rubber tube and a filler.Satisfactory, although less rapidly obtained results follow the introduction of saline solution into the cellular tissue for example, under the mamma, into the axilla, or under the skin of the back.If the patient can retain fluids taken by the mouth such as hot coffee, barley water, or soda water these should be freely given, unless the injury necessitates operative treatment under a general anasthetic.Transfusion of blood is most valuable as  a preliminary to operation  in patients who are bloodless as a result of hamorrhage from gastric and duodenal ulcers, and in bleeders.HAMOPHILIA The term hamophilia is applied to an inherited disease which renders the patient liable to serious hamorrhage from even the most trivial injuries; and the subjects of it are popularly known as ""bleeders.""The cause of the disease and its true nature are as yet unknown."
describe: Ambulatory Treatment|Ambulatory Treatment.When the circumstances of the patient forbid his lying up in bed, the healing of the ulcer is much delayed.He should be instructed to take every possible opportunity of placing the limb in an elevated position, and must constantly wear a firm bandage of  elastic webbing .This webbing is porous and admits of evaporation of the skin and wound secretions an advantage it has over Martin's rubber bandage.The bandage should extend from the toes to well above the knee, and should always be applied while the patient is in the recumbent position with the leg elevated, preferably before getting out of bed in the morning.Additional support is given to the veins if the bandage is applied as a figure of eight.
describe: Dry Gangrene|Dry Gangrene  or  Mummification  is a comparatively slow form of local death due, as a rule, to a diminution in the arterial blood supply of the affected part, resulting from such causes as the gradual narrowing of the lumen of the arteries by disease of their coats, or the blocking of the main vessel by an embolus.As the fluids in the tissues are lost by evaporation the part becomes dry and shrivelled, and as the skin is usually intact, infection does not take place, or if it does, the want of moisture renders the part an unsuitable soil, and the organisms do not readily find a footing.Any spread of the process that may take place is chiefly influenced by the anatomical distribution of the blocked arteries, and is arrested as soon as it reaches an area rich in anastomotic vessels.The dead portion is then cast off, the irritation resulting from the contact of the dead with the still living tissue inducing the formation of granulations on the proximal side of the junction, and these by slowly eating into the dead portion produce a furrow the  line of demarcation  which gradually deepens until complete separation is effected.As the muscles and bones have a richer blood supply than the integument, the death of skin and subcutaneous tissues extends higher than that of muscles and bone, with the result that the stump left after spontaneous separation is conical, the end of the bone projecting beyond the soft parts.Clinical Features.
describe: Heat, Chemical Agents|Gangrene from Heat, Chemical Agents, and Cold.Severe  burns  and  scalds  may be followed by necrosis of tissue.So long as the parts are kept absolutely dry as, for example, by the picric acid method of treatment the grossly damaged portions of tissue undergo dry gangrene; but when wet or oily dressings are applied and organisms gain access, moist gangrene follows.Strong  chemical agents , such as caustic potash, nitric or sulphuric acid, may also induce local tissue necrosis, the general appearances of the lesions produced being like those of severe burns.The resulting sloughs are slow to separate, and leave deep punched-out cavities which are long of healing.Carbolic Gangrene.
describe: Carbolic Gangrene|Carbolic Gangrene.Carbolic acid, even in comparatively weak solution, is liable to induce dry gangrene when applied as a fomentation to a finger, especially in women and children.Thrombosis occurs in the blood vessels of the part, which at first is pale and soft, but later becomes dark and leathery.On account of the anasthetic action of carbolic acid, the onset of the process is painless, and the patient does not realise his danger.A line of demarcation soon forms, but the dead part separates very slowly.Gangrene from Frost-bite.
describe: Spasm of Blood Vessels|Gangrene associated with Spasm of Blood Vessels.Raynaud's Disease , or symmetrical gangrene, is supposed to be due to spasm of the arterioles, resulting from peripheral neuritis.It occurs oftenest in women, between the ages of eighteen and thirty, who are the subjects of uterine disorders, anamia, or chlorosis.Cold is an aggravating factor, as the disease is commonest during the winter months.The digits of both hands or the toes of both feet are simultaneously attacked, and the disease seldom spreads beyond the phalanges or deeper than the skin.The first evidence is that the fingers become cold, white, and insensitive to touch and pain.
describe: Clinical Varieties|Clinical Varieties of Bacillary Gangrene.Acute infective gangrene  is the form most commonly met with in civil practice.It may follow such trivial injuries as a pin-prick or a scratch, the signs of acute cellulitis rapidly giving place to those of a spreading gangrene.Or it may ensue on a severe railway, machinery, or street accident, when lacerated and bruised tissues are contaminated with gross dirt.Often within a few hours of the injury the whole part rapidly becomes painful, swollen, œdematous, and tense.The skin is at first glazed, and perhaps paler than normal, but soon assumes a dull red or purplish hue, and bulla form on the surface.Clinical Varieties of Tetanus.Acute  or  Fulminating Tetanus .This variety is characterised by the shortness of the incubation period, the rapidity of its progress, the severity of its symptoms, and its all but universally fatal issue in spite of treatment, death taking place in from one to four days.The characteristic symptoms may appear within three or four days of the infliction of the wound, but the incubation period may extend to three weeks, and the wound may be quite healed before the disease declares itself  delayed tetanus .Usually, however, the wound is inflamed and suppurating, with ragged and sloughy edges.A slight feverish attack may mark the onset of the tetanic condition, or the patient may feel perfectly well until the spasms begin.
describe: Gas Gangrene|Acute Emphysematous  or  Gas Gangrene  was prevalent in certain areas at various periods during the European War.It follows infection of lacerated wounds with the  bacillus arogenes capsulatus , usually in combination with other anaërobes, and its main incidence is on the muscles, which rapidly become infiltrated with gas that spreads throughout the whole extent of the muscle, disintegrating its fibres and leading to necrosis.The gangrenous process spreads with appalling rapidity, the limb becoming enormously swollen, painful, and crepitant or even tympanitic.Patches of coppery or purple colour appear on the skin, and bulla containing blood-stained serum form on the surface.The toxamia is profound, and the face and lips assume a characteristic cyanosis.The condition is attended with a high mortality.
describe: Excoriations|Excoriations, which may develop into true bed-sores, sometimes form where two skin surfaces remain constantly apposed, as in the region of the scrotum or labium, under pendulous mamma, or between fingers or toes confined in a splint.Clinical Features.Two clinical varieties are met with the acute and the chronic bed-sore.The  acute  bed-sore usually occurs over the sacrum or buttock.It develops rapidly after spinal injuries and in the course of certain brain diseases.The part affected becomes red and congested, while the surrounding parts are œdematous and swollen, blisters form, and the skin loses its vitality (Fig.
